prediction,time,high,low,open,volumefrom,volumeto,close
231,2016-08-07,596.01,580.87,586.45,26202.24,15491523.1,590.85
232,2016-08-08,594.24,585.41,590.85,24880.83,14726811.56,589.24
233,2016-08-09,591.2,581.1,589.24,25971.47,15304277.91,585.25
234,2016-08-10,600.52,580.87,585.25,49568.68,29376783.81,590.94
235,2016-08-11,599.15,585.39,590.94,39824.58,23640952.51,587.84
236,2016-08-12,591.14,582.2,587.84,25501.78,15009452.98,587.14
237,2016-08-13,590.07,582.81,587.14,19303.82,11357750.81,584.59
238,2016-08-14,585.8,559.93,584.59,33065.8,18970094.63,569.06
239,2016-08-15,574.97,559.28,569.06,33771.15,19218972.96,566.95
240,2016-08-16,583.38,563.38,566.95,37689.33,21634083.15,580.19
241,2016-08-17,581.1,568.66,580.19,32760.8,18886741.55,572.34
242,2016-08-18,579.53,570.83,572.34,30389.41,17509679.71,573.39
243,2016-08-19,577.86,566.25,573.39,25530.44,14701426.29,574.56
244,2016-08-20,583.5,572.28,574.56,23119.79,13416843.63,582.61
245,2016-08-21,585.32,577.84,582.61,14160.18,8294321.53,580.66
246,2016-08-22,591.9,577.13,580.66,33558.61,19658058.08,587.47
247,2016-08-23,589.87,578.61,587.47,32082.32,18772369.53,583.56
248,2016-08-24,584.47,576.82,583.56,28057.04,16337141.09,579.66
249,2016-08-25,580.71,570.81,579.66,32733.65,18885349.63,577.96
250,2016-08-26,582.73,575.83,577.96,21168.38,12329289.75,579.37
251,2016-08-27,580.41,567.25,579.37,18686.65,10747219.53,570.35
252,2016-08-28,576.32,569.21,570.35,12824.95,7377921.72,574.98
253,2016-08-29,578.61,571.38,574.98,23862.95,13760854.22,574.23
254,2016-08-30,579.94,572.51,574.23,27480.29,15895354.76,577.32
255,2016-08-31,578.25,571.69,577.32,24933.77,14338795.45,573.88
256,2016-09-01,704.97,569.37,573.88,25872.2,14860164.25,571.99
257,2016-09-02,577.6,569.3,571.99,26612.15,15315755.66,575.29
258,2016-09-03,604.97,572.64,575.29,35699.73,21055514.22,598.84
259,2016-09-04,615.2,590.78,598.84,30690.03,18646011.82,609.55
260,2016-09-05,610.61,598.77,609.55,25286.46,15369832.26,605.76
261,2016-09-06,611.95,603.55,605.76,24324.78,14864563.84,610.44
262,2016-09-07,616.48,606.24,610.44,30033.77,18429525.07,613.21
263,2016-09-08,629.3,611.25,613.21,36328.29,22710390.64,625.57
264,2016-09-09,627.58,617.32,625.57,28333.32,17710151.19,623.16
265,2016-09-10,627.45,621.07,623.16,15279.28,9600113.74,624.52
266,2016-09-11,630.77,592.79,624.52,36543.99,22467346.61,605.61
267,2016-09-12,610.62,603.03,605.61,27944.86,17058938.65,607.98
268,2016-09-13,612.03,604.87,607.98,27515.13,16850869.45,608.61
269,2016-09-14,612.16,606.39,608.61,24244.49,14878860.18,609.54
270,2016-09-15,610.73,605.1,609.54,22687.24,13892193.46,608.11
271,2016-09-16,610.36,605.15,608.11,21847.03,13353736.94,607.78
272,2016-09-17,609.61,604.52,607.78,15894.29,9724490.11,607.08
273,2016-09-18,612.38,605.22,607.08,16329.91,10004923.58,610.7
274,2016-09-19,612.41,606.99,610.7,21236.53,12981851.28,609.85
275,2016-09-20,611.27,605.93,609.85,22607.66,13809380.94,609.24
276,2016-09-21,608.82,591.69,609.24,36862.36,22059386.51,597.16
277,2016-09-22,599.78,592.83,597.16,22441.49,13463966.31,595.63
278,2016-09-23,603.7,594.11,595.63,25921.89,15567036.24,602.92
279,2016-09-24,605.92,600.5,602.92,13472.8,8196210.74,602.59
280,2016-09-25,604.87,598.35,602.59,13278.03,8038079.81,601.49
281,2016-09-26,608.46,598.17,601.49,27504.57,16700407.53,606.54
282,2016-09-27,608.97,601.73,606.54,25546.7,15534315.77,605.47
283,2016-09-28,606.9,602.62,605.47,18936.2,11485005.36,604.67
284,2016-09-29,607.23,602.01,604.67,25321.05,15403975.48,604.7
285,2016-09-30,608.78,602.25,604.7,23952.58,14534745.84,608.14
286,2016-10-01,615.0,607.07,608.14,16932.63,10415543.03,613.41
287,2016-10-02,614.21,607.67,613.41,16534.52,10096653.77,610.69
288,2016-10-03,613.2,608.47,610.69,21946.12,13462741.8,611.6
289,2016-10-04,612.68,606.5,611.6,24993.32,15300692.52,608.96
290,2016-10-05,613.65,607.98,608.96,23401.3,14360536.88,611.82
291,2016-10-06,612.68,608.54,611.82,21625.57,13276337.45,610.97
292,2016-10-07,619.43,609.12,610.97,32725.06,20167399.2,616.03
293,2016-10-08,619.56,614.88,616.03,13620.86,8467434.0,617.65
294,2016-10-09,618.35,613.01,617.65,13430.26,8320759.4,615.77
295,2016-10-10,618.81,612.76,615.77,25230.93,15597892.34,617.29
296,2016-10-11,642.35,615.6,617.29,55765.89,35367127.91,640.45
297,2016-10-12,642.51,632.19,640.45,26952.73,17240000.95,635.99
298,2016-10-13,639.52,632.25,635.99,25614.65,16387361.92,635.6
299,2016-10-14,640.46,630.66,635.6,31421.75,20114873.61,637.92
300,2016-10-15,641.4,635.06,637.92,12381.25,7970927.57,637.03
301,2016-10-16,642.18,636.39,637.03,12886.16,8306925.43,640.12
302,2016-10-17,641.29,634.89,640.12,27691.09,17742610.19,637.37
303,2016-10-18,639.34,632.23,637.37,24598.13,15725013.13,635.34
304,2016-10-19,637.27,624.09,635.34,35289.02,22379197.69,629.06
305,2016-10-20,630.83,625.48,629.06,20943.99,13252110.98,628.34
306,2016-10-21,633.26,627.58,628.34,28087.96,17836383.25,630.45
307,2016-10-22,659.89,629.72,630.45,37097.19,24154228.12,655.48
308,2016-10-23,661.2,648.78,655.48,21907.32,14418212.04,653.03
309,2016-10-24,654.32,645.68,653.03,33243.05,21726106.55,650.49
310,2016-10-25,662.54,647.65,650.49,36742.93,24179462.12,651.0
311,2016-10-26,678.39,651.39,651.0,47670.4,31949607.32,674.67
312,2016-10-27,687.88,672.26,674.67,46557.39,31862181.34,682.3
313,2016-10-28,688.43,678.63,682.3,38968.34,26829414.0,686.24
314,2016-10-29,720.19,685.22,686.24,54028.31,38351348.64,714.95
315,2016-10-30,714.91,689.51,714.95,39328.5,27793236.64,697.27
316,2016-10-31,707.21,682.17,697.27,38046.55,26687188.09,698.67
317,2016-11-01,734.36,695.2,698.67,68064.91,49453950.69,726.76
318,2016-11-02,735.78,718.14,726.76,39043.27,28452232.03,733.51
319,2016-11-03,744.43,670.4,733.51,96409.44,69067917.54,684.87
320,2016-11-04,706.64,681.27,684.87,48235.17,33762721.43,702.08
321,2016-11-05,706.38,694.03,702.08,22018.95,15554565.72,702.11
322,2016-11-06,714.13,697.63,702.11,25809.88,18363567.63,709.91
323,2016-11-07,711.66,698.35,709.91,30743.71,21797370.12,705.4
324,2016-11-08,714.63,700.96,705.4,39732.33,28262235.71,710.9
325,2016-11-09,741.23,707.13,710.9,70698.2,51548567.54,721.42
326,2016-11-10,723.02,707.31,721.42,33327.52,23931322.76,714.57
327,2016-11-11,719.79,711.67,714.57,25583.38,18386841.21,714.97
328,2016-11-12,717.37,701.08,714.97,27601.81,19677656.63,704.27
329,2016-11-13,705.61,685.01,704.27,36136.74,25249834.8,701.97
330,2016-11-14,708.03,696.11,701.97,37752.31,26613445.03,704.56
331,2016-11-15,716.93,697.91,704.56,41401.17,29562740.26,711.1
332,2016-11-16,745.98,708.14,711.1,79569.14,58304902.39,740.28
333,2016-11-17,751.91,730.08,740.28,62772.48,46942756.4,737.53
334,2016-11-18,751.43,730.95,737.53,39708.18,29666065.54,746.96
335,2016-11-19,755.34,737.44,746.96,25625.82,19276573.28,747.89
336,2016-11-20,752.26,712.77,747.89,47423.27,34876785.19,728.51
337,2016-11-21,744.33,726.55,728.51,32508.2,24010681.87,736.19
338,2016-11-22,754.01,730.62,736.19,44441.44,33225195.21,749.34
339,2016-11-23,750.93,731.34,749.34,37869.33,28258203.98,741.07
340,2016-11-24,744.24,726.19,741.07,37239.41,27531777.52,735.31
341,2016-11-25,741.25,728.97,735.31,28846.87,21299510.69,740.39
342,2016-11-26,740.96,725.62,740.39,22578.17,16682481.58,734.14
343,2016-11-27,738.29,727.11,734.14,21354.15,15735824.63,729.42
344,2016-11-28,738.1,727.74,729.42,34117.31,25153838.93,733.3
345,2016-11-29,737.04,727.78,733.3,32567.83,24030304.1,732.56
346,2016-11-30,745.39,730.57,732.56,39277.45,29210351.41,742.49
347,2016-12-01,755.48,741.08,742.49,54029.19,40690942.17,752.63
348,2016-12-02,779.02,752.25,752.63,63217.85,48893613.64,770.94
349,2016-12-03,772.32,755.81,770.94,38445.54,30234128.1,764.24
350,2016-12-04,769.23,758.8,764.24,19163.97,14755120.48,766.39
351,2016-12-05,769.18,746.01,766.39,51164.97,39082688.28,754.34
352,2016-12-06,762.48,750.91,754.34,33430.33,25497771.6,758.21
353,2016-12-07,769.02,754.27,758.21,34864.8,26755412.58,765.56
354,2016-12-08,773.41,761.17,765.56,28780.25,22208497.22,768.49
355,2016-12-09,773.48,765.03,768.49,24176.98,18722048.47,770.48
356,2016-12-10,776.96,769.19,770.48,18017.98,14049110.07,774.0
357,2016-12-11,774.16,763.0,774.0,17140.02,13269086.38,767.91
358,2016-12-12,781.26,767.86,767.91,28759.72,22442991.37,778.47
359,2016-12-13,790.33,767.77,778.47,33108.65,25894856.06,778.74
360,2016-12-14,780.77,771.01,778.74,24782.47,19326375.41,776.5
361,2016-12-15,780.27,773.12,776.5,26224.24,20452116.66,775.21
362,2016-12-16,783.94,773.31,775.21,27607.57,21650384.64,782.05
363,2016-12-17,791.57,779.36,782.05,23581.31,18648778.51,787.17
364,2016-12-18,791.26,783.8,787.17,14532.68,11525747.48,789.01
365,2016-12-19,793.73,786.31,789.01,25460.54,20238681.94,789.79
366,2016-12-20,800.02,787.12,789.79,34480.19,27406319.09,799.1
367,2016-12-21,833.13,795.98,799.1,65293.55,53411082.07,829.21
368,2016-12-22,874.68,828.87,829.21,70557.59,60511618.45,860.15
369,2016-12-23,920.26,858.04,860.15,102224.08,91802931.23,917.17
370,2016-12-24,920.49,880.79,917.17,46030.07,41576781.41,891.07
371,2016-12-25,895.24,851.42,891.07,42483.29,37173377.51,891.07
372,2016-12-26,909.32,885.88,891.07,38787.58,35002753.4,898.38
373,2016-12-27,937.91,893.38,898.38,49691.61,45966615.06,925.78
374,2016-12-28,974.51,925.49,925.78,77285.8,73811803.99,972.17
375,2016-12-29,982.57,949.23,972.17,61124.62,59226667.89,971.08
376,2016-12-30,971.59,927.4,971.08,70839.81,67449149.3,959.04
377,2016-12-31,965.47,942.4,959.04,27559.31,26379401.89,963.38
378,2017-01-01,1001.61,956.1,963.38,41148.52,40570922.99,995.44
379,2017-01-02,1031.68,990.2,995.44,64951.63,66038073.34,1017.05
380,2017-01-03,1035.47,1006.53,1017.05,54788.01,56085870.7,1033.3
381,2017-01-04,1148.54,1022.32,1033.3,156272.17,170584623.04,1135.41
382,2017-01-05,1150.63,874.53,1135.41,240007.84,244839289.77,989.35
383,2017-01-06,1027.42,852.55,989.35,194290.96,179160668.84,886.16
384,2017-01-07,900.86,806.66,886.16,130663.09,113037531.71,888.87
385,2017-01-08,936.13,875.85,888.87,76905.99,70298340.37,900.86
386,2017-01-09,910.47,870.91,900.86,62579.5,55963281.18,899.78
